,title,categories,averageRating,publishedDate
0,The girl on the train,Fiction,3.5,2015.0
1,The maze runner,Juvenile Fiction,3.5,2014.0
2,Crash & burn : a novel,Young Adult Fiction,4.0,2013.0
3,Gray Mountain,Fiction,3.5,2014.0
4,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,Foreign Language Study,,2002.0
5,Yes please,Juvenile Nonfiction,5.0,2014.0
6,Obsession in death,Fiction,4.0,2015.0
7,Cold cold heart,Fiction,4.0,2015.0
8,Paper towns,Bildungsromans,4.0,2012.0
9,Where she went,Fiction,4.0,2011.0
10,All my puny sorrows,Fiction,4.0,2014.0
11,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash,Medical,3.0,2015.0
12,The life-changing magic of tidying up : the Japanese art of decluttering and organizing,House & Home,3.5,2014.0
13,The husband's secret,Fiction,3.5,2013.0
14,Buried Giant ,Fiction,3.5,2015.0
15,Alan Turing : the enigma,Biography & Autobiography,4.0,2014.0
16,The Scorch Trials,Juvenile Fiction,4.0,2015.0
17,Fifty shades of Grey,Fiction,3.0,2018.0
18,American sniper : the autobiography of the most lethal sniper in U.S. military history,Biography & Autobiography,4.0,2012.0
19,Big little lies,Fiction,4.0,2014.0
20,Still Alice : a novel,Fiction,4.5,2010.0
21,Captivated by you,Fiction,3.0,2014.0
22,Sisters,Juvenile Nonfiction,4.0,2014.0
23,Minecraft annual,Children's stories,5.0,2018.0
24,Hope to die,Fiction,5.0,2014.0
25,The assassin,Fiction,4.0,2019.0
26,Private Vegas [large print],Fiction,4.0,2010.0
27,The Cinderella murder : an under suspicion novel,Fiction,4.0,2014.0
28,The Rosie project,Fiction,4.0,2013.0
29,The back of the turtle : a novel,Fiction,4.5,2014.0
30,As chimney sweepers come to dust,Fiction,4.0,2015.0
31,Dead heat,Fiction,4.5,2012.0
32,The nightingale,Fiction,4.5,2015.0
33,All the light we cannot see : a novel,Fiction,4.0,2014.0
34,Private Vegas,Fiction,3.5,2015.0
35,Who can jump?,Education,,2014.0
36,Silly Sally,Juvenile Fiction,4.0,2007.0
37,Baby animal farm,Animals,,2014.0
38,And the birds rained down,Fiction,4.0,2013.0
39,This changes everything : capitalism vs. the climate,Political Science,4.5,2014.0
40,A spool of blue thread,Fiction,3.5,2015.0
41,Leaving time : a novel,Fiction,4.5,2014.0
42,Station eleven,Fiction,4.0,2014.0
43,Sweetland : a novel,Fiction,4.0,2015.0
44,Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,Juvenile Fiction,4.5,2012.0
45,The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity,Medical,4.0,2015.0
46,The organized mind : thinking straight in the age of information overload,Science,4.0,2014.0
47,Fairest : Levana's story,Young Adult Fiction,4.0,2015.0
48,Spring,Travel,4.0,2008.0
49,Mightier than the sword,Fiction,4.0,2015.0
50,Neil Patrick Harris : choose your own autobiography,Biography & Autobiography,4.0,2014.0
51,Funny girl,Fiction,3.5,2015.0
52,Etta and Otto and Russell and James,Fiction,4.0,2015.0
53,Heir ,Fiction,3.5,2014.0
54,Breakaway,Juvenile Fiction,4.0,2012.0
55,"The fastdiet : lose weight, stay healthy, and live longer with the simple secret of intermittent fasting",Health & Fitness,4.0,2013.0
56,Burial rites : a novel,Fiction,4.0,2013.0
57,Compelling people : the hidden qualities that make us influential,Business & Economics,4.0,2013.0
58,"Momo, or, The curious story about the time thieves and the child who returned the people's stolen time",Fiction,4.0,2013.0
59,The book with no pictures,Juvenile Fiction,4.0,2014.0
60,Vocabulary boosters,English language,4.0,2005.0
61,Diary of a wimpy kid. The long haul,Juvenile Fiction,4.5,2014.0
62,The Rosie effect,Fiction,3.5,2019.0
63,Promise ,Religion,5.0,2011.0
64,Being mortal : medicine and what matters in the end,Medical,4.0,2014.0
65,"Not that kind of girl : a young woman tells you what she's ""learned""",Biography & Autobiography,3.0,2014.0
66,Double fudge brownie murder,Fiction,3.0,2015.0
67,The heir,Young Adult Fiction,3.5,2016.0
68,Let's pretend this never happened : (a mostly true memoir),Biography & Autobiography,4.5,2012.0
69,"Aging backwards : 10 years younger, 10 years lighter, 30 minutes a day",Health & Fitness,3.5,2014.0
70,Trigger warning : short fictions and disturbances,Fiction,4.0,2015.0
71,We are all completely beside ourselves,Fiction,3.5,2014.0
72,Discover Japan : experience the best of Japan,Travel,5.0,2015.0
73,Archie 1000 Page Comics Extravaganza ,Juvenile Fiction,,2014.0
74,Anya's ghost,Juvenile Fiction,3.5,2011.0
75,Dead Heat ,Fiction,4.5,2012.0
76,What if? : serious scientific answers to absurd hypothetical questions,Humor,4.0,2014.0
77,What I know for sure,"Body, Mind & Spirit",4.0,2014.0
78,Hush,Fiction,4.0,2008.0
79,The blood of Olympus,Juvenile Fiction,4.0,2014.0
80,The alchemist,Fiction,4.0,2015.0
81,Not my father's son : a memoir,Biography & Autobiography,4.0,2014.0
82,Revival : a novel,Fiction,3.5,2011.0
83,The escape,Fiction,4.0,2019.0
84,Minecraft : essential handbook,Juvenile Fiction,5.0,2013.0
85,The Testing,Young Adult Fiction,4.0,2014.0
86,Lila,Fiction,3.5,2014.0
87,Stone mattress : nine tales,Fiction,4.0,2014.0
88,The blinding knife,Fiction,4.0,2012.0
89,Journey to Juno,Juvenile Fiction,4.5,2013.0
90,Throne of glass,Young Adult Fiction,4.0,2012.0
91,Organize your home,House & Home,3.5,2013.0
92,"Garden anywhere : how to grow gorgeous container gardens, herb gardens, kitchen gardens, and more, without spending a fortune",Gardening,,2015.0
93,Private India : city on fire,Fiction,3.5,2014.0
94,Shopaholic to the stars : a novel,Fiction,3.5,2014.0
95,Make me,Computers,4.0,2016.0
96,"Us conductors : in which I seek the heart of Clara Rockmore, my own true love, finest theremin player the world will ever know",Fiction,5.0,2014.0
97,Mindset : the new psychology of success,Psychology,4.0,2017.0
98,How to build a girl,Fiction,3.5,2014.0
99,A death in the family,Fiction,4.0,2008.0
100,How the light gets in,Fiction,4.5,2013.0
101,Obsession In Death ,Fiction,4.0,2015.0
102,Burn,Medical,3.5,2012.0
103,Fit to kill,Fiction,1.0,2008.0
104,Liar ,Fiction,3.5,2010.0
105,Thug kitchen : eat like you give a f*ck,Cooking,5.0,2014.0
106,The paying guests,Fiction,3.5,2014.0
107,Where is my man?,Fiction,,2013.0
108,Rick Steves Ireland 2015,Travel,5.0,2018.0
109,The cuckoo's calling,Fiction,4.0,2013.0
110,"""They say/I say"" : the moves that matter in academic writing : with readings",Language Arts & Disciplines,4.0,2018.0
111,The 100-year-old man who climbed out the window and disappeared,Fiction,3.5,2012.0
112,The unfairest of them all,Juvenile Fiction,4.5,2014.0
113,"Unbroken : a World War II story of survival, resilience, and redemption",Biography & Autobiography,4.5,2014.0
114,Ten apples up on top!,Juvenile Fiction,4.0,1961.0
115,"Amulet. Book six, Escape from Lucien",Juvenile Fiction,4.5,2014.0
116,Nora Webster : a novel,Fiction,4.0,2014.0
117,The burning room : a novel,Fiction,4.0,2014.0
118,The antidote : happiness for people who can't stand positive thinking,Self-Help,3.5,2012.0
119,The ultimate player's guide to Minecraft,Games & Activities,,2015.0
120,Tell : a novel,Fiction,3.5,2016.0
121,What it is to be me! : an asperger kid book,Juvenile Nonfiction,5.0,2005.0
122,The buried giant,Fiction,3.5,2015.0
123,Looking for Alaska : a novel,Young Adult Fiction,5.0,2008.0
124,Ru,Fiction,3.5,2012.0
125,Minecraft for dummies,Computers,5.0,2014.0
126,Bully,Fiction,4.0,2010.0
127,Mater and the little tractor,Juvenile Fiction,,2013.0
128,Dixie and the big bully,Juvenile Fiction,4.0,2012.0
129,The miniaturist,Fiction,5.0,2014.0
130,The inconvenient Indian : a curious account of Native People in North America,History,4.0,2012.0
131,When everything feels like the movies,Young Adult Fiction,3.0,2014.0
132,To kill a mockingbird,Fiction,4.5,2014.0
133,Farm,Fiction,3.0,2019.0
134,Punishment : a novel,Fiction,5.0,1993.0
135,Dork diaries. Tales from a not-so-happily ever after,Juvenile Fiction,4.0,2014.0
136,"Catwoman. Volume 1, The game",Comics & Graphic Novels,3.0,2012.0
137,"Vegan casseroles : pasta bakes, gratins, pot pies, and more",Cooking,4.0,2014.0
138,Adult onset : a novel,Fiction,3.5,2014.0
139,X,Medical,5.0,2002.0
140,How to be a woman,Family & Relationships,3.5,2011.0
141,"Beep, beep",Juvenile Fiction,4.0,2016.0
142,Practice tests for IELTS,English language,,2015.0
143,Dark places,Fiction,3.5,2009.0
